stem,dice_background,dice_srf,dice_irf,dice_elm,dice_ez
93_19,0.982626,0.824773,0.84286,,0.501823
93_2,0.985726,0.871086,0.784959,0.0,0.392857
93_3,0.98354,0.809537,0.790828,0.0,0.508088
93_4,0.983452,0.815115,0.811191,0.0,0.440245
93_5,0.98498,0.88105,0.848219,0.0,0.493374
93_6,0.980653,0.881464,0.769091,0.0,0.460568
93_7,0.982567,0.782306,0.859953,0.0,0.529823
93_8,0.983641,0.812115,0.89239,0.0,0.469565
93_9,0.981609,0.8374,0.877746,0.0,0.302483
94_1,0.993116,0.0,0.693841,0.189041,0.277273
94_10,0.989426,,0.731001,0.0,0.173599
94_11,0.990348,,0.730028,0.0,0.22069
94_12,0.987795,,0.68012,,0.276364
94_13,0.989532,,0.705374,,0.18315
94_14,0.991632,,0.752198,,0.062069
94_15,0.991525,,0.723208,0.0,0.295455
94_16,0.991907,,0.741669,,0.0
94_17,0.99052,,0.766667,0.0,0.225806
94_2,0.992736,,0.786747,0.182171,0.22303
94_3,0.993099,,0.775743,0.211288,0.21844
94_4,0.992911,,0.780737,0.0,0.378517
94_5,0.990044,,0.735253,0.530159,0.16285
94_6,0.990036,,0.761555,0.34767,0.144828
94_7,0.992354,,0.791008,0.085561,0.17341
94_8,0.986984,,0.711706,0.183556,0.180737
94_9,0.989219,,0.74882,0.014815,0.194896
95_1,0.994166,0.72497,0.714073,,
95_10,0.995723,0.684808,0.592552,0.0,0.0
95_11,0.996996,0.797688,0.830201,0.0,0.0
95_12,0.99466,0.724121,0.650179,0.0,
95_13,0.995434,0.740857,0.674838,,
95_14,0.995444,0.791906,0.661852,0.0,0.0
95_15,0.995832,0.812944,0.674822,0.0,
95_16,0.993607,0.818769,0.587029,0.0,
95_17,0.994507,0.813502,0.717195,0.0,0.0
95_18,0.994703,0.79759,0.659733,0.0,0.0
95_19,0.99491,0.838649,0.674723,0.0,0.0
95_2,0.993443,0.806161,0.532098,,
95_20,0.994445,0.824351,0.571429,0.0,0.0
95_21,0.995111,0.821746,0.621148,,0.0
95_3,0.995504,0.809953,0.721473,,
95_4,0.993617,0.714829,0.537609,0.0,
95_5,0.9969,0.785747,0.764738,,
95_6,0.997246,0.764474,0.793582,,
95_7,0.99642,0.72935,0.682066,,
95_8,0.996138,0.573356,0.48018,,
95_9,0.995846,0.737742,0.699708,0.0,0.0
96_1,0.982387,0.856496,0.868481,0.045977,0.327986
96_10,0.990398,0.844884,0.770705,0.13578,0.229851
96_11,0.990108,0.796045,0.63658,0.309623,0.385886
96_12,0.989962,0.755454,0.742291,0.0,0.38556
96_13,0.992163,0.79902,0.78972,,0.548387
96_14,0.993119,0.823492,0.90839,0.0,0.368644
96_15,0.991439,0.718737,0.784621,0.0,0.330966
96_16,0.993586,0.775215,0.888514,0.0,0.19158
96_17,0.992724,0.692448,0.81584,0.0,0.353203
96_18,0.981928,0.876099,0.81803,0.0,0.381238
96_2,0.981049,0.845165,0.849204,0.18125,0.304487
96_3,0.984523,0.872098,0.877642,0.305882,0.433151
96_4,0.982951,0.834437,0.851228,0.238889,0.325351
96_5,0.98399,0.844374,0.815346,0.150579,0.338073
96_6,0.985978,0.848532,0.80676,0.0,0.157003
96_7,0.987927,0.863895,0.776982,0.0,0.378571
96_8,0.987339,0.819127,0.748594,0.223714,0.35163
96_9,0.99021,0.834238,0.650943,0.0,0.417498
97_1,0.979511,0.900306,0.824675,,
97_10,0.975585,0.883784,0.77704,,
97_11,0.974228,0.888204,0.75594,,
97_12,0.973421,0.880676,0.715895,,
97_13,0.974385,0.860654,0.714992,,
97_14,0.976741,0.892566,0.565523,,
97_15,0.976636,0.881393,0.679324,,
97_16,0.96857,0.873781,0.684998,,
97_17,0.972605,0.891826,0.699066,,0.0
97_18,0.980076,0.92953,0.728859,,0.0
97_19,0.973202,0.907677,0.646097,,
97_2,0.982354,0.931182,0.823808,,0.0
97_3,0.973916,0.910573,0.788458,,0.0
97_4,0.976695,0.897407,0.82328,,
97_5,0.975586,0.891649,0.823624,,
97_6,0.970795,0.883004,0.781809,,
97_7,0.971302,0.884045,0.758266,,
97_8,0.974883,0.894728,0.768132,,
97_9,0.978461,0.905614,0.718849,,
98_1,0.998738,,0.754821,0.220238,0.704268
98_10,0.985004,0.866393,0.768126,0.245283,0.513386
98_11,0.983264,0.846036,0.709776,0.310966,0.512235
98_12,0.979721,0.785909,0.665195,0.382749,0.725599
98_13,0.98251,0.723653,0.765982,0.451444,0.731884
98_14,0.987014,0.811132,0.822944,0.0,0.417457
98_15,0.98407,0.816195,0.780374,0.0,0.515702
98_16,0.986275,0.786833,0.785368,0.0,0.571429
98_17,0.982806,0.632231,0.772223,0.677852,0.57
98_18,0.990771,0.692291,0.780857,0.164179,0.610951
98_2,0.991618,,0.774093,0.647368,0.72
98_3,0.992833,,0.74658,0.0,0.578475
